Complaint_Type,chat_message
Traffic,@CityCouncil These traffic lights on Main&5th have been out for 2 days! 😠 Total chaos during rush hour! #fixitplz
Roads Issues,Huge pothole on Cedar Street is destroying everyone's cars! 🚗💥 Been there for weeks now...
Security,Hey city mgmt - suspicious activity near Parker Elementary again. Lots of loitering after dark. Need more patrols! 👮‍♂️
Noise,Can't sleep AGAIN bc of that bar on 7th!! Music blasting at 2am every weekend! Make it stop! 😫😫
Cleaning,Garbage bins near Central Park haven't been emptied in days. The smell is horrible! 🤢 Sort it out please!!
Pets Control,Stray dogs roaming around Jefferson Ave - look aggressive! Someone pls help before kids get hurt 😰
Traffic,stuck in traffic AGAIN on Bridge St! When r u gonna fix this timing?? Been like this for months! 😤
Roads Issues,yo @cityworks that massive crack in the road on Pine Ave is getting worse everyday! Cars swerving to avoid it ⚠️
Security,Need better lighting on Walker Street ASAP! Feel super unsafe walking home at night 🌙
Noise,These construction works starting at 6AM are driving me CRAZY! Don't they know ppl are sleeping?! 😡
Cleaning,@CityMgmt Wilson Park is full of litter after weekend events. No one's cleaning?? Disgusting! 🗑️
Pets Control,Help!! There's a pack of stray cats fighting outside my house every night! Can't deal anymore 😩
Traffic,3rd time this week stuck at Harrison intersection! Traffic signals totally out of sync 🚦😠
Roads Issues,Street signs on Oak Road completely faded - impossible to read at night! Accident waiting to happen ⚠️
Security,Bunch of teens vandalizing the community center again. Need security cameras!!
Noise,OMG these leaf blowers at 7am!! Do landscapers have no respect for peace&quiet?? 😤
Cleaning,Overflowing trash bins bringing rats to restaurant area on Market St! Health hazard! 🐀
Pets Control,Large dog running loose near school again - no collar! Animal control needed ASAP! 
Traffic,45 mins to move 2 blocks on Washington Ave! Fix this traffic nightmare! 🚗😫
Roads Issues,Broken sidewalk outside library is dangerous! My grandma almost fell! ⚠️👵
Security,Strange person lurking around playground after dark. Parents concerned! 👀
Noise,New gym playing LOUD music with windows open! Can hear it 3 blocks away! 🏋️‍♂️🔊
Cleaning,When was the last time someone cleaned the bus stops?? So gross! 🤮
Pets Control,Help! Neighbor's pit bull keeps jumping the fence! No one's doing anything! 😱
Traffic,School zone traffic is INSANE! Need crossing guard or someone's gonna get hurt 🚸
Roads Issues,That pothole by grocery store just ate my tire! City better pay for this! 💰
Security,Break-ins increasing in our neighborhood. Where are the police patrols?? 🚓
Noise,Party house on Lake St needs to STOP! Every. Single. Weekend. 🎵😤
Cleaning,Shopping carts abandoned all over town! Looking like a dump! 🛒😠
Pets Control,Coyotes spotted near residential area! Keep your pets inside! 🦊⚠️
Traffic,Left turn signal at Mall entrance WAY too short! Only 2 cars get through! 😫
Roads Issues,Speed bumps on Hill Rd falling apart! What are our taxes paying for?? 💸
Security,Sketchy activity behind old warehouse. Lots of cars coming/going at night 🚗
Noise,Hospital helicopter pad too loud! Can't they route differently?? 🚁😩
